id,music video title,view count,like count,dislike count,comment count
1,Adele - Easy On Me (Official Video),338939338,6681620,0,255775
2,"The Kid LAROI, Justin Bieber - STAY (Official Video)",726090810,10465174,0,250468
3,"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)",423643087,9183515,0,434934
4,Walker Hayes - Fancy Like,119535411,772014,0,27333
5,Ed Sheeran - Bad Habits [Official Video],503842581,4290502,0,150326
6,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),95593737,1232168,0,50526
7,Ed Sheeran - Shivers [Official Video],274760184,2251666,0,55295
8,Olivia Rodrigo - good 4 u (Official Video),429966015,6900395,0,237299
9,Doja Cat - Need to Know (Official Video),277639127,4196478,0,85564
10,Dua Lipa - Levitating Featuring DaBaby (Official Music Video),717556600,6991733,0,149129
11,Wizkid - Essence (Official Video) ft. Tems,139190213,997939,0,36118
12,Doja Cat - Kiss Me More (Official Video) ft. SZA,412128297,4674986,0,144823
13,Glass Animals - Heat Waves (Official Video),527376250,7515457,0,145869
14,Måneskin - Beggin’ (Official Video),15089207,240135,0,3853
15,"Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video)",426737689,2623874,0,46909
16,"Doja Cat, The Weeknd - You Right (Official Video)",229991553,2949259,0,69450
17,The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),265309779,3475231,0,91941
18,Jason Aldean & Carrie Underwood - If I Didn't Love You (Official Music Video),37280413,230053,0,4936
19,Olivia Rodrigo - traitor (Official Video),92287174,2156941,0,57236
20,Coldplay X BTS - My Universe (Official Video),264792044,8965643,0,432645
21,"Nardo Wick - Who Want Smoke?? ft. Lil Durk, 21 Savage & G Herbo (Directed by Cole Bennett)",178224864,1541311,0,51536
22,"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat",81076472,835006,0,26346
23,"WILLOW, THE ANXIETY, Tyler Cole - Meet Me At Our Spot (Live Performance)",124105055,2011309,0,44918
24,Lil Nas X - MONTERO (Call Me By Your Name) (Official Video),530290854,10813947,0,1032226
25,"Ryan Hurd, Maren Morris - Chasing After You (Official Video)",33015268,231233,0,4220
26,Drake - Girls Want Girls (Music Video) ft. Lil Baby,5150588,52180,0,1388
27,Swedish House Mafia and The Weeknd - Moth To A Flame (Official Video),73721139,1062360,0,31432
28,Let's Go Brandon - Bryson Gray (Feat. Tyson James and Chandler Crump),1543241,52192,0,4462
29,Lil Nas X - THATS WHAT I WANT (Official Video),140738949,2814637,0,152635
30,Farruko - Pepas (Official Video),551685470,4724839,0,93289
31,CKay - Love Nwantiti Remix ft. Joeboy & Kuami Eugene [Ah Ah Ah] [Official Music Video],381794911,5180495,0,83361
32,The Weeknd - Take My Breath (Official Music Video),144407682,1736988,0,59252
33,Billie Eilish - Happier Than Ever (Official Music Video),284673723,5887184,0,147035
34,Moneybagg Yo - Wockesha (Official Music Video),61145619,482349,0,11350
35,"NEIKED, Mae Muller, Polo G - Better Days",24882741,354944,0,11053
36,Jordan Davis - Buy Dirt (Official Music Video) ft. Luke Bryan,35296716,183513,0,4080
37,Justin Bieber - Ghost,253816250,3040375,0,102492
38,LETS GO BRANDON - Theme Song - Loza Alexander - (OFFICIAL MUSIC VIDEO),6766182,320110,0,32077
39,Luke Combs - Cold As You (Official Video),16650346,63646,0,1666
40,Tai Verdes - AOK (Official Video),11706909,271386,0,4914
41,You Should Probably Leave (Live From The Tonight Show Starring Jimmy Fallon),2273714,19276,0,761
42,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",663886337,7025909,0,193033
43,Thinking ‘Bout You (feat. MacKenzie Porter) [Official Music Video],17984736,114465,0,1914
44,Lee Brice - Memory I Don't Mess With (Official Music Video),17405288,106942,0,2719
45,Young Thug - BUBBLY ft. Drake & Travis Scott (Official Video),137658,2069,0,62
46,Normani - Wild Side (Official Video) ft. Cardi B,146105371,2044992,0,96196
47,Meek Mill - Sharing Locations feat. Lil Baby & Lil Durk [Official Video],49022599,505951,0,14021
48,"Capella Grey - ""Gyalis"" [Official Music Video]",24261752,246451,0,5289
49,Old Dominion - I Was On a Boat That Day (Official Video),11047134,53770,0,1223
50,"Baby Keem, Kendrick Lamar - family ties (Official Video)",88927118,1466351,0,51249
51,Chlöe - Have Mercy (Official Video),95274411,1711448,0,60264
52,"Drake ""Fair Trade"" ft. Travis Scott (Fan Music Video)",3420197,23461,0,315
53,Zac Brown Band - Same Boat (Official Music Video),3905928,27957,0,632
54,Elvie Shane - My Boy (Official Music Video),23013084,199841,0,5589
55,Kanye West - Hurricane,12225851,272090,0,12432
56,Blxst - Chosen (feat. Ty Dolla $ign & Tyga) [Official Music Video],81897555,762573,0,9193
57,"Yung Bleu, Chris Brown & 2 Chainz - Baddest (Official Video)",61639992,576626,0,15804
58,Kenny Chesney - Knowing You (Official Music Video),18679561,114197,0,7979
59,"Kane Brown, blackbear - Memory (Official Video)",21730508,211891,0,4651
60,"Jameson Rodgers, Luke Combs - Cold Beer Calling My Name (Official Video)",15607667,77662,0,1879
61,Lil Tjay - Not In The Mood (Feat. Fivio Foreign & Kay Flock) [Official Video],32197170,519316,0,20164
62,Lil Durk - Pissed Me Off (Official Video),38188884,439399,0,22147
63,Doja Cat - Woman (Official Video),178306294,3329425,0,72573
64,Morgan Wallen: Sand In My Boots (The Dangerous Sessions),39486877,202523,0,4681
65,Cody Johnson - 'Til You Can't (Official Music Video),50067473,273536,0,7202
66,Dua Lipa - Love Again (Official Music Video),259165538,2338472,0,71920
67,Michael Ray | Whiskey And Rain (Official Music Video),8934561,75122,0,1543
68,Kane Brown - One Mississippi (Official Video),14182254,101085,0,3998
69,"Moneybagg Yo, Lil Durk, EST Gee - Switches & Dracs [Official Music Video]",27430162,309542,0,8266
